domain,budget,physical_cells,prediction_rows,selected_pchp_alpha,selected_control_alpha,selected_control_offset,baseline_cell_macro_mae,pchp_cell_macro_mae,control_cell_macro_mae,pchp_minus_baseline,pchp_minus_control,maximum_pchp_displacement,maximum_observed_pchp_loss_regret,maximum_cell_macro_pchp_harm,pchp_nonincreasing,baseline_nonincreasing,control_nonincreasing
MICH_EXP,0.0,18,6455,0.01,0.01,0.0,0.09051207585886864,0.09051207585886864,0.09051207585886864,0.0,0.0,0.0,0.0,0.0,True,True,True
MICH_EXP,0.0025,18,6455,0.01,0.01,0.0025,0.09051207585886864,0.08879720212508646,0.09067881790889655,-0.0017148737337821796,-0.0018816157838100894,0.0025000000000000022,0.0024999999999999467,0.0006374034269745685,True,True,True
MICH_EXP,0.005,18,6455,0.01,0.01,0.005,0.09051207585886864,0.08726552761580715,0.09089835963960578,-0.0032465482430614895,-0.0036328320237986322,0.0050000000000000044,0.0050000000000000044,0.001207810559106376,True,True,True
MICH_EXP,0.0075,18,6455,0.01,0.015,0.0075,0.09051207585886864,0.08587805063700821,0.09152529341889867,-0.004634025221860433,-0.005647242781890466,0.007500000000000062,0.007499999999999951,0.0016945247789688714,True,True,True
MICH_EXP,0.01,18,6455,0.01,0.015,0.01,0.09051207585886864,0.08464938623788601,0.0916210703493101,-0.005862689620982631,-0.006971684111424084,0.010000000000000009,0.010000000000000009,0.002502378768643806,True,True,True
MICH_EXP,0.015,18,6455,0.01,0.015,0.015,0.09051207585886864,0.08263000636563178,0.09194760413972972,-0.00788206949323686,-0.009317597774097935,0.015000000000000013,0.015000000000000013,0.004872942885284495,True,True,True
MICH_EXP,0.02,18,6455,0.01,0.02,0.02,0.09051207585886864,0.08109482792038807,0.09309682908037903,-0.009417247938480575,-0.012002001159990963,0.020000000000000018,0.020000000000000018,0.0076935048882462425,True,True,True
MICH_EXP,0.03,18,6455,0.01,0.03,0.027051857286161107,0.09051207585886864,0.0788369302270878,0.0948731001348027,-0.011675145631780834,-0.016036169907714892,0.030000000000000027,0.030000000000000027,0.01426267972830548,True,True,True
RWTH,0.0,48,105140,0.01,0.01,0.0,0.14421515618330924,0.14421515618330924,0.14421515618330924,0.0,0.0,0.0,0.0,0.0,True,True,True
RWTH,0.0025,48,105140,0.01,0.01,0.0025,0.14421515618330924,0.1444621147351537,0.1444621147351537,0.0002469585518444506,0.0,0.0024999999999999467,0.0024999999999999467,0.0006636316371137763,True,True,True
RWTH,0.005,48,105140,0.01,0.015,0.005,0.14421515618330924,0.14472635914644566,0.1457430650842037,0.0005112029631364201,-0.0010167059377580445,0.0050000000000000044,0.0050000000000000044,0.0013334801968483134,True,True,True
RWTH,0.0075,48,105140,0.01,0.015,0.0075,0.14421515618330924,0.14500834437499574,0.14599533946534715,0.0007931881916865002,-0.0009869950903514113,0.007499999999999951,0.007499999999999951,0.0020073874939433856,True,True,True
RWTH,0.01,48,105140,0.01,0.015,0.01,0.14421515618330924,0.1453074741276922,0.14626563559703581,0.00109231794438297,-0.0009581614693436047,0.010000000000000009,0.010000000000000009,0.002687478169580454,True,True,True
RWTH,0.015,48,105140,0.01,0.02,0.015,0.14421515618330924,0.1459582598327909,0.14737071473570007,0.0017431036494816587,-0.0014124549029091715,0.015000000000000013,0.015000000000000013,0.004065546156267752,True,True,True
RWTH,0.02,48,105140,0.01,0.03,0.02,0.14421515618330924,0.14668353475268403,0.14852004983659065,0.0024683785693747906,-0.0018365150839066147,0.020000000000000018,0.020000000000000018,0.005518171740048622,True,True,True
RWTH,0.03,48,105140,0.01,0.03,0.02517538820774945,0.14421515618330924,0.14843575469599982,0.14921691669409254,0.0042205985126905765,-0.000781161998092722,0.030000000000000027,0.030000000000000027,0.008696878390506368,True,True,True
