domain,cell_id,pchp_cell_mae,control_cell_mae,prediction_rows,pchp_minus_control
HUST,HUST/HUST_5-7,0.019247724579031664,0.025503618674051615,1443,-0.006255894095019952
HUST,HUST/HUST_6-1,0.019741697358358058,0.025122762060406322,1604,-0.005381064702048265
HUST,HUST/HUST_6-2,0.0387454414196901,0.039441619020793565,1903,-0.0006961776011034648
HUST,HUST/HUST_6-3,0.03446785674150727,0.034621422446783394,1799,-0.00015356570527612357
HUST,HUST/HUST_6-4,0.0233248241487102,0.02992627545352654,1712,-0.00660145130481634
HUST,HUST/HUST_6-5,0.02479078858112993,0.029996940952255097,2173,-0.005206152371125167
HUST,HUST/HUST_6-6,0.0419766331835594,0.042759856200453195,2463,-0.0007832230168937915
HUST,HUST/HUST_6-8,0.04331099307002203,0.04372502837217605,2445,-0.0004140353021540241
HUST,HUST/HUST_7-1,0.032825805813564465,0.0405603137391635,1685,-0.0077345079255990365
HUST,HUST/HUST_7-2,0.037983438713629566,0.03963331373574557,2025,-0.0016498750221160055
HUST,HUST/HUST_7-3,0.020122883573876493,0.02404767082496456,1290,-0.003924787251088066
HUST,HUST/HUST_7-4,0.020631073251819707,0.02302442166333132,1388,-0.002393348411511613
HUST,HUST/HUST_7-5,0.03130191198198069,0.03349737697432892,1868,-0.0021954649923482256
HUST,HUST/HUST_7-6,0.02000655761065971,0.026097926241760886,1414,-0.006091368631101175
HUST,HUST/HUST_7-7,0.02074794586487313,0.028543472527296786,1680,-0.007795526662423655
HUST,HUST/HUST_7-8,0.03197979623586947,0.03409916470539883,1933,-0.0021193684695293633
HUST,HUST/HUST_8-1,0.019805282218613426,0.024967804138594164,1303,-0.005162521919980737
HUST,HUST/HUST_8-2,0.023719088072863232,0.03112736945590992,2036,-0.007408281383046687
HUST,HUST/HUST_8-3,0.034062175355185915,0.03469108248259856,2285,-0.0006289071274126479
HUST,HUST/HUST_8-4,0.021006544592528754,0.028478829610923947,1880,-0.007472285018395194
HUST,HUST/HUST_8-5,0.02131148294903656,0.024010138160988487,1343,-0.002698655211951926
HUST,HUST/HUST_8-6,0.027568226226404834,0.03455051135197702,2360,-0.006982285125572189
HUST,HUST/HUST_8-7,0.026629439809891662,0.028513317386026592,2042,-0.0018838775761349305
HUST,HUST/HUST_8-8,0.03437805777844297,0.03442006026114429,1674,-4.2002482701315735e-05
HUST,HUST/HUST_9-1,0.04028638608952062,0.04046221381629959,2052,-0.0001758277267789668
HUST,HUST/HUST_9-2,0.034834943473622905,0.036616140800995504,2138,-0.0017811973273725995
HUST,HUST/HUST_9-3,0.035918243335539335,0.03828312944866113,1900,-0.0023648861131217933
HUST,HUST/HUST_9-4,0.037839549591145376,0.03864319909520701,1970,-0.0008036495040616362
HUST,HUST/HUST_9-5,0.03691989249319253,0.0372995801805258,2163,-0.00037968768733327024
HUST,HUST/HUST_9-6,0.03775998488804531,0.037503654857843946,1737,0.0002563300302013613
HUST,HUST/HUST_9-7,0.03344600349772047,0.03713501344916755,2007,-0.003689009951447081
HUST,HUST/HUST_9-8,0.035493989699931484,0.036247228448065036,2303,-0.0007532387481335515
MATR,MATR/MATR_b1c0,0.03783431312229049,0.03778089237196521,1843,5.342075032527954e-05
MATR,MATR/MATR_b1c1,0.04473556563903398,0.04574387851351914,2153,-0.0010083128744851552
MATR,MATR/MATR_b1c11,0.06116104118281973,0.06366279237983603,781,-0.0025017511970163026
MATR,MATR/MATR_b1c14,0.061646223249616994,0.06411600017348106,873,-0.0024697769238640616
MATR,MATR/MATR_b1c15,0.05654094674579168,0.05939818068922598,712,-0.0028572339434342967
MATR,MATR/MATR_b1c16,0.05039185650491511,0.05159718918912518,855,-0.001205332684210074
MATR,MATR/MATR_b1c17,0.052899267873416714,0.051487808836907935,850,0.001411459036508779
MATR,MATR/MATR_b1c18,0.04845035783144688,0.039026422287273925,683,0.009423935544172958
MATR,MATR/MATR_b1c19,0.047296731551243885,0.0500301253390595,781,-0.002733393787815612
MATR,MATR/MATR_b1c2,0.04441589067438418,0.044913839608686286,2229,-0.000497948934302106
MATR,MATR/MATR_b1c20,0.029696043865376328,0.023684466321330616,526,0.006011577544045712
MATR,MATR/MATR_b1c21,0.04014915164492385,0.03148375260755501,552,0.008665399037368841
MATR,MATR/MATR_b1c23,0.0665741287964693,0.06877388013206279,1007,-0.0021997513355934833
MATR,MATR/MATR_b1c24,0.08228408481103079,0.08377979013834135,1010,-0.0014957053273105536
MATR,MATR/MATR_b1c25,0.0746419852222763,0.07692175104894307,847,-0.002279765826666766
MATR,MATR/MATR_b1c26,0.05439850560389538,0.05700022331909964,863,-0.0026017177152042603
MATR,MATR/MATR_b1c27,0.0587417934228307,0.060445107304684484,835,-0.0017033138818537824
MATR,MATR/MATR_b1c28,0.07460404674196273,0.07434295424093965,853,0.00026109250102308856
MATR,MATR/MATR_b1c29,0.07712221941889402,0.07701124138559352,910,0.00011097803330049893
MATR,MATR/MATR_b1c3,0.04536482937799961,0.046574675996881074,1427,-0.0012098466188814605
MATR,MATR/MATR_b1c30,0.054554645714410405,0.05460269995263755,701,-4.805423822714511e-05
MATR,MATR/MATR_b1c31,0.05888822648131867,0.05838728772404648,869,0.0005009387572721888
MATR,MATR/MATR_b1c32,0.0668748151729901,0.06350017961327234,724,0.003374635559717759
MATR,MATR/MATR_b1c33,0.06607223028359141,0.0630589813981437,750,0.0030132488854477113
MATR,MATR/MATR_b1c34,0.06961411659919187,0.0707427015033794,735,-0.0011285849041875323
MATR,MATR/MATR_b1c35,0.06639484978280247,0.06760041442262049,695,-0.0012055646398180242
MATR,MATR/MATR_b1c36,0.07251330712375334,0.07237487051331046,697,0.00013843661044288247
MATR,MATR/MATR_b1c37,0.06966379058898169,0.06869781027670188,640,0.0009659803122798044
MATR,MATR/MATR_b1c38,0.05465740111778828,0.05469434422367885,610,-3.6943105890571704e-05
MATR,MATR/MATR_b1c39,0.05544710162202979,0.055294068482481036,618,0.00015303313954875136
MATR,MATR/MATR_b1c4,0.04637896872995926,0.04815189845008649,1702,-0.0017729297201272282
