outer_target_domain,inner_validation_domain,alpha,physical_cells,validation_rows,causal_candidate_cell_macro_mae
HNEI,RWTH,0.20000000000000001,48,105140,0.23115894735868522
HNEI,RWTH,0.10000000000000001,48,105140,0.23185679828994918
HNEI,RWTH,0.050000000000000003,48,105140,0.2329524325915274
HNEI,RWTH,0.029999999999999999,48,105140,0.2342589385301207
HNEI,RWTH,0.02,48,105140,0.23581180261328971
HNEI,RWTH,0.014999999999999999,48,105140,0.23731969695281122
HNEI,RWTH,0.01,48,105140,0.24028029143269217
HNEI,RWTH,0.0050000000000000001,48,105140,0.24900120228125763
HNEI,SDU,1,86,48716,0.067843557734565255
HNEI,SDU,0.5,86,48716,0.064467613145558572
HNEI,SDU,0.20000000000000001,86,48716,0.058075489814558512
HNEI,SDU,0.10000000000000001,86,48716,0.051227090694278152
HNEI,SDU,0.050000000000000003,86,48716,0.046924310192065811
HNEI,SDU,0.029999999999999999,86,48716,0.047281761865583777
HNEI,SDU,0.02,86,48716,0.048323891189433338
HNEI,SDU,0.014999999999999999,86,48716,0.048573725444035459
HNEI,SDU,0.01,86,48716,0.047691074389462178
HNEI,SDU,0.0050000000000000001,86,48716,0.048100356818573629
HNEI,SNL,1,61,96092,0.058959019260601583
HNEI,SNL,0.5,61,96092,0.05385374074879707
HNEI,SNL,0.20000000000000001,61,96092,0.050669211739317849
HNEI,SNL,0.10000000000000001,61,96092,0.05149925751627276
HNEI,SNL,0.050000000000000003,61,96092,0.053434996076990919
HNEI,SNL,0.029999999999999999,61,96092,0.055683815813654954
HNEI,SNL,0.02,61,96092,0.05828717200708565
HNEI,SNL,0.014999999999999999,61,96092,0.060719324926266076
HNEI,SNL,0.01,61,96092,0.065094762804802114
HNEI,SNL,0.0050000000000000001,61,96092,0.076342263259130572
HNEI,UL_PUR,1,10,2195,0.064895078845191273
HNEI,UL_PUR,0.5,10,2195,0.062294815455579258
HNEI,UL_PUR,0.20000000000000001,10,2195,0.057956489972280346
HNEI,UL_PUR,0.10000000000000001,10,2195,0.052676662768838575
HNEI,UL_PUR,0.050000000000000003,10,2195,0.044778779262770754
HNEI,UL_PUR,0.029999999999999999,10,2195,0.036767663195849995
HNEI,UL_PUR,0.02,10,2195,0.029349992468087997
HNEI,UL_PUR,0.014999999999999999,10,2195,0.024551653268041582
HNEI,UL_PUR,0.01,10,2195,0.020966406862936025
HNEI,UL_PUR,0.0050000000000000001,10,2195,0.0284135090136176
HNEI,XJTU,1,23,6823,0.058652811239699225
HNEI,XJTU,0.5,23,6823,0.057765386558355003
HNEI,XJTU,0.20000000000000001,23,6823,0.055641151028098967
HNEI,XJTU,0.10000000000000001,23,6823,0.05279958969116709
HNEI,XJTU,0.050000000000000003,23,6823,0.048522593000288473
HNEI,XJTU,0.029999999999999999,23,6823,0.044277514368032657
HNEI,XJTU,0.02,23,6823,0.040498144904527487
HNEI,XJTU,0.014999999999999999,23,6823,0.037897930098653367
HNEI,XJTU,0.01,23,6823,0.034960136576606418
