domain,cell_id,records,cell_mae,cell_rmse,method
SDU,SDU/SDU_Battery_15,581,0.05389853697045316,0.06112688119442709,selected_causal_baseline
SDU,SDU/SDU_Battery_16,581,0.04809936143969794,0.05402592348566157,selected_causal_baseline
SDU,SDU/SDU_Battery_17,405,0.056064637259003215,0.060496038387906244,selected_causal_baseline
SDU,SDU/SDU_Battery_18,436,0.057951980039252816,0.06382620300282477,selected_causal_baseline
SDU,SDU/SDU_Battery_19,411,0.05197099856082546,0.056307282851666175,selected_causal_baseline
SDU,SDU/SDU_Battery_2,890,0.07675601871898365,0.08367730862680814,selected_causal_baseline
SDU,SDU/SDU_Battery_20,411,0.052469661325765,0.056749939071124876,selected_causal_baseline
SDU,SDU/SDU_Battery_21,481,0.04335346759146719,0.047323485179509184,selected_causal_baseline
SDU,SDU/SDU_Battery_22,486,0.06013128224866489,0.06605998212044782,selected_causal_baseline
SDU,SDU/SDU_Battery_23,481,0.08104073595638346,0.08728234864706057,selected_causal_baseline
SDU,SDU/SDU_Battery_24,436,0.061411109996955045,0.06729403101694814,selected_causal_baseline
SDU,SDU/SDU_Battery_25,436,0.05862364712196884,0.0642964805825726,selected_causal_baseline
SDU,SDU/SDU_Battery_26,541,0.10279632878846019,0.11299253175489402,selected_causal_baseline
SDU,SDU/SDU_Battery_27,486,0.07962408090968233,0.08870789283923244,selected_causal_baseline
SDU,SDU/SDU_Battery_28,456,0.06872390268369416,0.07768852467544518,selected_causal_baseline
SDU,SDU/SDU_Battery_29,486,0.06958488220791446,0.07714602838427408,selected_causal_baseline
SDU,SDU/SDU_Battery_3,851,0.050282671859719984,0.053132128584606766,selected_causal_baseline
SDU,SDU/SDU_Battery_30,441,0.06115977409044324,0.06605883887331962,selected_causal_baseline
SDU,SDU/SDU_Battery_31,176,0.05778504919126055,0.06945981484177281,selected_causal_baseline
SDU,SDU/SDU_Battery_32,121,0.06745568724276525,0.08246242138558835,selected_causal_baseline
SDU,SDU/SDU_Battery_33,191,0.05260846361984925,0.06267624042394884,selected_causal_baseline
SDU,SDU/SDU_Battery_34,161,0.06362015689664521,0.07611594673189713,selected_causal_baseline
SDU,SDU/SDU_Battery_35,151,0.06721866301109694,0.07904206334220712,selected_causal_baseline
SDU,SDU/SDU_Battery_36,136,0.06503641743212396,0.0775379555058984,selected_causal_baseline
SDU,SDU/SDU_Battery_37,146,0.0642378847631393,0.07748281553980206,selected_causal_baseline
SDU,SDU/SDU_Battery_38,106,0.06077152723918457,0.07310776290882634,selected_causal_baseline
SDU,SDU/SDU_Battery_39,71,0.08253250970089766,0.09345420606727148,selected_causal_baseline
SDU,SDU/SDU_Battery_4,881,0.06882139502210999,0.07528032207763674,selected_causal_baseline
SDU,SDU/SDU_Battery_40,66,0.08068318133466529,0.09105860802818776,selected_causal_baseline
SDU,SDU/SDU_Battery_41,86,0.07515820716666333,0.08571620822923663,selected_causal_baseline
SDU,SDU/SDU_Battery_42,71,0.07622284648335324,0.08719608092281732,selected_causal_baseline
SDU,SDU/SDU_Battery_43,71,0.08276635131948384,0.09447271457107376,selected_causal_baseline
SDU,SDU/SDU_Battery_44,61,0.07684285021572979,0.08814191460807581,selected_causal_baseline
SDU,SDU/SDU_Battery_45,1116,0.07107446105472338,0.07797849139356426,selected_causal_baseline
SDU,SDU/SDU_Battery_46,1071,0.06777480310856403,0.0730000316089503,selected_causal_baseline
SDU,SDU/SDU_Battery_47,1121,0.0724748552227661,0.07930183437925206,selected_causal_baseline
SDU,SDU/SDU_Battery_48,1054,0.06472663832592995,0.06945549240333693,selected_causal_baseline
SDU,SDU/SDU_Battery_49,1346,0.07557921033190088,0.08397853887358658,selected_causal_baseline
SDU,SDU/SDU_Battery_5,1051,0.0640393894649253,0.07100363772309287,selected_causal_baseline
SDU,SDU/SDU_Battery_50,1409,0.07514922821127014,0.08293456632869503,selected_causal_baseline
SDU,SDU/SDU_Battery_51,1421,0.07274579010237521,0.08005645714779452,selected_causal_baseline
SDU,SDU/SDU_Battery_52,1246,0.06798578382378456,0.07510644405398074,selected_causal_baseline
SDU,SDU/SDU_Battery_53,121,0.05921755005101481,0.06894843751635228,selected_causal_baseline
SDU,SDU/SDU_Battery_54,191,0.04946369103282502,0.0575301831919607,selected_causal_baseline
SDU,SDU/SDU_Battery_55,126,0.05685387946547902,0.06610718300537852,selected_causal_baseline
SDU,SDU/SDU_Battery_56,141,0.05801465177555924,0.06667566666414183,selected_causal_baseline
SDU,SDU/SDU_Battery_57,86,0.056599152377174576,0.0684853497122017,selected_causal_baseline
SDU,SDU/SDU_Battery_58,71,0.07098178676760021,0.08838747961372763,selected_causal_baseline
SDU,SDU/SDU_Battery_59,86,0.06059857336815683,0.07309910050873697,selected_causal_baseline
SDU,SDU/SDU_Battery_6,1111,0.07671393479574545,0.08421420976042468,selected_causal_baseline
SDU,SDU/SDU_Battery_60,81,0.058812093821741636,0.07120072792636219,selected_causal_baseline
SDU,SDU/SDU_Battery_61,391,0.06335193207366302,0.06689456071464535,selected_causal_baseline
SDU,SDU/SDU_Battery_62,431,0.07155534589839724,0.0767130043089785,selected_causal_baseline
SDU,SDU/SDU_Battery_63,361,0.02940383258498725,0.03251450643970194,selected_causal_baseline
SDU,SDU/SDU_Battery_64,411,0.057111623331685984,0.0630926202708537,selected_causal_baseline
SDU,SDU/SDU_Battery_65,230,0.03646285654320934,0.04066804598416645,selected_causal_baseline
SDU,SDU/SDU_Battery_66,271,0.02505211958145367,0.029390292125766108,selected_causal_baseline
SDU,SDU/SDU_Battery_67,181,0.05440632572639165,0.0673893782238335,selected_causal_baseline
SDU,SDU/SDU_Battery_68,191,0.05267688101834977,0.06370628179177065,selected_causal_baseline
SDU,SDU/SDU_Battery_69,71,0.0788878452956656,0.09227643335577,selected_causal_baseline
SDU,SDU/SDU_Battery_7,1041,0.08056604004511354,0.08799642430079103,selected_causal_baseline
SDU,SDU/SDU_Battery_70,106,0.07004204235853505,0.08079007445884127,selected_causal_baseline
SDU,SDU/SDU_Battery_71,81,0.08443965753147747,0.0983469672839983,selected_causal_baseline
SDU,SDU/SDU_Battery_72,81,0.08466903048192513,0.09745164600243586,selected_causal_baseline
SDU,SDU/SDU_Battery_73,1175,0.10802978485077193,0.11582138049920064,selected_causal_baseline
SDU,SDU/SDU_Battery_74,1315,0.11422824868935716,0.12155942814324809,selected_causal_baseline
SDU,SDU/SDU_Battery_75,950,0.09760952882482592,0.10545744305211299,selected_causal_baseline
SDU,SDU/SDU_Battery_76,1120,0.09415783816723858,0.10182226383341243,selected_causal_baseline
SDU,SDU/SDU_Battery_77,1066,0.09104194888909505,0.09842150197483893,selected_causal_baseline
SDU,SDU/SDU_Battery_78,1021,0.0866367335455161,0.09331020844330776,selected_causal_baseline
SDU,SDU/SDU_Battery_79,1076,0.09553921821854568,0.1030291859013574,selected_causal_baseline
SDU,SDU/SDU_Battery_8,706,0.04870858934007115,0.051280908477066664,selected_causal_baseline
SDU,SDU/SDU_Battery_80,1060,0.09148998400924378,0.09882846493356566,selected_causal_baseline
SDU,SDU/SDU_Battery_81,1186,0.09979544034112066,0.10704067304494484,selected_causal_baseline
SDU,SDU/SDU_Battery_82,1140,0.09582910567426757,0.1030796336999674,selected_causal_baseline
SDU,SDU/SDU_Battery_83,1195,0.08914335850720691,0.09488870329343645,selected_causal_baseline
SDU,SDU/SDU_Battery_84,1131,0.08245837404682865,0.08755312154430603,selected_causal_baseline
SDU,SDU/SDU_Battery_85,1201,0.09809629962158116,0.10399147375297958,selected_causal_baseline
SDU,SDU/SDU_Battery_86,1036,0.08626363622585843,0.09182594251252563,selected_causal_baseline
SDU,SDU/SDU_Battery_9,411,0.02902851889865902,0.03440609204291469,selected_causal_baseline
