domain,cell_id,cell_mae,method
MATR,MATR/MATR_b4c19,0.07187255427485735,pointwise_tube
MATR,MATR/MATR_b4c2,0.03787067257627507,pointwise_tube
MATR,MATR/MATR_b4c20,0.03320460848614024,pointwise_tube
MATR,MATR/MATR_b4c21,0.0509637373349226,pointwise_tube
MATR,MATR/MATR_b4c22,0.06480448310606475,pointwise_tube
MATR,MATR/MATR_b4c23,0.051769118675621555,pointwise_tube
MATR,MATR/MATR_b4c24,0.04605441900497089,pointwise_tube
MATR,MATR/MATR_b4c25,0.08160579424921915,pointwise_tube
MATR,MATR/MATR_b4c26,0.07994224340641937,pointwise_tube
MATR,MATR/MATR_b4c27,0.061569890976059624,pointwise_tube
MATR,MATR/MATR_b4c28,0.04754239313165683,pointwise_tube
MATR,MATR/MATR_b4c29,0.03884263146292625,pointwise_tube
MATR,MATR/MATR_b4c3,0.0709601547614827,pointwise_tube
MATR,MATR/MATR_b4c30,0.042579970839973044,pointwise_tube
MATR,MATR/MATR_b4c31,0.14989830012274818,pointwise_tube
MATR,MATR/MATR_b4c32,0.06568159298447311,pointwise_tube
MATR,MATR/MATR_b4c33,0.05933723771208619,pointwise_tube
MATR,MATR/MATR_b4c34,0.038559232656724125,pointwise_tube
MATR,MATR/MATR_b4c35,0.037405102370391255,pointwise_tube
MATR,MATR/MATR_b4c36,0.08030345587413508,pointwise_tube
MATR,MATR/MATR_b4c37,0.06874391412517393,pointwise_tube
MATR,MATR/MATR_b4c38,0.041744667645207775,pointwise_tube
MATR,MATR/MATR_b4c39,0.06314931293452292,pointwise_tube
MATR,MATR/MATR_b4c4,0.13788530331320414,pointwise_tube
MATR,MATR/MATR_b4c40,0.03873696988971478,pointwise_tube
MATR,MATR/MATR_b4c41,0.06346594208443082,pointwise_tube
MATR,MATR/MATR_b4c42,0.05652560486864952,pointwise_tube
MATR,MATR/MATR_b4c43,0.06972640509743029,pointwise_tube
MATR,MATR/MATR_b4c44,0.05665550607018079,pointwise_tube
MATR,MATR/MATR_b4c5,0.05160104721724942,pointwise_tube
